label,short,shortDomain,shortRange,description
total time person has spent in space (m),dbo:timeInSpace,dbo:Astronaut,dbd:minute,total time person has spent in space of astronaut in minute
fuel capacity (l),dbo:fuelCapacity,dbo:Automobile,dbd:litre,fuel capacity of automobile in litre
wheelbase (mm),dbo:wheelbase,dbo:Automobile,dbd:millimetre,wheelbase of automobile in millimetre
floor area (m2),dbo:floorArea,dbo:Building,dbd:squareMetre,floor area of building in square metre
maximum boat beam (μ),dbo:maximumBoatBeam,dbo:Canal,dbd:metre,maximum boat beam of canal in metre
maximum boat length (μ),dbo:maximumBoatLength,dbo:Canal,dbd:metre,maximum boat length of canal in metre
original maximum boat beam (μ),dbo:originalMaximumBoatBeam,dbo:Canal,dbd:metre,original maximum boat beam of canal in metre
original maximum boat length (μ),dbo:originalMaximumBoatLength,dbo:Canal,dbd:metre,original maximum boat length of canal in metre
boiling point (K),dbo:boilingPoint,dbo:ChemicalSubstance,dbd:kelvin,boiling point of chemical substance in kelvin
density (μ3),dbo:density,dbo:ChemicalSubstance,dbd:kilogramPerCubicMetre,density of chemical substance in kilogram per cubic metre
melting point (K),dbo:meltingPoint,dbo:ChemicalSubstance,dbd:kelvin,melting point of chemical substance in kelvin
diameter (μ),dbo:diameter,dbo:ConveyorSystem,dbd:metre,diameter of conveyor system in metre
height (mm),dbo:height,dbo:ConveyorSystem,dbd:millimetre,height of conveyor system in millimetre
length (mm),dbo:length,dbo:ConveyorSystem,dbd:millimetre,length of conveyor system in millimetre
mass (kg),dbo:mass,dbo:ConveyorSystem,dbd:kilogram,mass of conveyor system in kilogram
weight (kg),dbo:weight,dbo:ConveyorSystem,dbd:kilogram,weight of conveyor system in kilogram
width (mm),dbo:width,dbo:ConveyorSystem,dbd:millimetre,width of conveyor system in millimetre
boiling point (K),dbo:boilingPoint,dbo:Drug,dbd:kelvin,boiling point of drug in kelvin
melting point (K),dbo:meltingPoint,dbo:Drug,dbd:kelvin,melting point of drug in kelvin
acceleration (s),dbo:acceleration,dbo:Engine,dbd:second,acceleration of engine in second
CO2 emission (g/km),dbo:co2Emission,dbo:Engine,dbd:gramPerKilometre,co2 emission of engine in gram per kilometre
