label,short,shortDomain,shortRange,description
academic advisor,dbo:academicAdvisor,dbo:Scientist,dbo:Person,academic advisor
academic discipline,dbo:academicDiscipline,dbo:AcademicJournal,,"academic discipline, an academic discipline, or field of study, is a branch of knowledge that is taught and researched at the college or university level. disciplines are defined (in part), and recognized by the academic journals in which research is published, and the learned societies and academic departments or faculties to which their practitioners belong."
Academy Award,dbo:academyAward,dbo:Artist,dbo:Award,academy award
achievement,dbo:achievement,dbo:Person,,achievement
ACT score,dbo:actScore,dbo:School,,"act score, most recent average act scores"
acting headteacher,dbo:actingHeadteacher,dbo:EducationalInstitution,dbo:Person,acting headteacher
activity,dbo:activity,dbo:Person,,activity
address in road,dbo:addressInRoad,dbo:Road,,"address in road, a building, organisation or other thing that is located in the road."
adjacent settlement of a switzerland settlement,dbo:adjacentSettlement,dbo:Settlement,dbo:Settlement,adjacent settlement of a switzerland settlement
administrative center,dbo:administrativeCenter,dbo:AdministrativeRegion,dbo:Place,administrative center
administrative collectivity,dbo:administrativeCollectivity,dbo:Settlement,dbo:PopulatedPlace,administrative collectivity
administrative district,dbo:administrativeDistrict,dbo:Settlement,dbo:PopulatedPlace,administrative district
head city,dbo:administrativeHeadCity,dbo:PopulatedPlace,dbo:City,"head city, city where stand the administrative power"
administrator,dbo:administrator,dbo:Organisation,dbo:Person,administrator
affiliation,dbo:affiliation,,dbo:Organisation,affiliation
AFI Award,dbo:afiAward,dbo:Artist,dbo:Award,afi award
agency,dbo:agency,dbo:Person,,agency
agglomeration,dbo:agglomeration,dbo:PopulatedPlace,dbo:Agglomeration,agglomeration
agglomeration area,dbo:agglomerationArea,dbo:PopulatedPlace,dbo:Area,agglomeration area
agglomeration demographics,dbo:agglomerationDemographics,dbo:PopulatedPlace,dbo:Demographics,agglomeration demographics
agglomeration population,dbo:agglomerationPopulation,dbo:Settlement,dbo:Population,agglomeration population
aircraft attack,dbo:aircraftAttack,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft attack
aircraft bomber,dbo:aircraftBomber,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft bomber
aircraft electronic,dbo:aircraftElectronic,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft electronic
aircraft fighter,dbo:aircraftFighter,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft fighter
aircraft helicopter,dbo:aircraftHelicopter,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter
aircraft helicopter attack,dbo:aircraftHelicopterAttack,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter attack
aircraft helicopter cargo,dbo:aircraftHelicopterCargo,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter cargo
aircraft helicopter multirole,dbo:aircraftHelicopterMultirole,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter multirole
aircraft helicopter observation,dbo:aircraftHelicopterObservation,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter observation
aircraft helicopter transport,dbo:aircraftHelicopterTransport,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter transport
aircraft helicopter utility,dbo:aircraftHelicopterUtility,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter utility
aircraft interceptor,dbo:aircraftInterceptor,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft interceptor
aircraft patrol,dbo:aircraftPatrol,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft patrol
aircraft recon,dbo:aircraftRecon,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft recon
aircraft transport,dbo:aircraftTransport,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft transport
aircraft user,dbo:aircraftUser,dbo:Aircraft,dbo:Organisation,aircraft user
album,dbo:album,,dbo:Album,album
alliance,dbo:alliance,dbo:Airline,,alliance
alma mater,dbo:almaMater,dbo:Person,dbo:EducationalInstitution,"alma mater, schools that they attended"
alongside,dbo:alongside,,dbo:Person,alongside
Alps group,dbo:alpsGroup,dbo:Mountain,dbo:MountainRange,"alps group, the alps group to which the mountain belongs, according to the soiusa classification"
Alps main part,dbo:alpsMainPart,dbo:Mountain,dbo:MountainRange,"alps main part, the alps main part to which the mountain belongs, according to the soiusa classification"
Alps major sector,dbo:alpsMajorSector,dbo:Mountain,dbo:MountainRange,"alps major sector, the alps major sector to which the mountain belongs, according to the soiusa classification"
Alps section,dbo:alpsSection,dbo:Mountain,dbo:MountainRange,"alps section, the alps section to which the mountain belongs, according to the soiusa classification"
Alps subgroup,dbo:alpsSubgroup,dbo:Mountain,dbo:MountainRange,"alps subgroup, the alps subgroup to which the mountain belongs, according to the soiusa classification"
Alps subsection,dbo:alpsSubsection,dbo:Mountain,dbo:MountainRange,"alps subsection, the alps subsection to which the mountain belongs, according to the soiusa classification"
Alps supergroup,dbo:alpsSupergroup,dbo:Mountain,dbo:MountainRange,"alps supergroup, the alps supergroup to which the mountain belongs, according to the soiusa classification"
altitude,dbo:altitude,dbo:Place,dbo:Altitude,altitude
alumni,dbo:alumni,dbo:EducationalInstitution,dbo:Person,alumni
amateur team,dbo:amateurTeam,"dbo:Athlete,_CareerStation",dbo:SportsTeam,amateur team
American Comedy Award,dbo:americanComedyAward,dbo:Comedian,dbo:Award,american comedy award
animal,dbo:animal,,dbo:Animal,animal
animator,dbo:animator,dbo:Cartoon,dbo:Agent,animator
announcedFrom,dbo:announcedFrom,dbo:Person,dbo:Place,announcedfrom
anthem,dbo:anthem,,dbo:Work,"anthem, official song (anthem) of a populatedplace, sportsteam, school or other"
apc president,dbo:apcPresident,,dbo:Person,apc president
appointer,dbo:appointer,,dbo:Person,appointer
archipelago,dbo:archipelago,dbo:Island,,archipelago
architect,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,architect
architectual bureau,dbo:architectualBureau,dbo:ArchitecturalStructure,dbo:Company,architectual bureau
architectural style,dbo:architecturalStyle,dbo:ArchitecturalStructure,,architectural style
area of search,dbo:areaOfSearch,dbo:SiteOfSpecialScientificInterest,dbo:PopulatedPlace,area of search
Ariel Award,dbo:arielAward,dbo:Actor,dbo:Award,ariel award
arrondissement,dbo:arrondissement,dbo:PopulatedPlace,dbo:PopulatedPlace,arrondissement
patron (art),dbo:artPatron,dbo:Agent,dbo:Artist,"patron (art), an influential, wealthy person who supported an artist, craftsman, a scholar or a noble.

. see also"
artery,dbo:artery,dbo:AnatomicalStructure,dbo:Artery,artery
performer,dbo:artist,dbo:MusicalWork,dbo:Agent,"performer, the performer or creator of the musical work."
Aspect Ratio,dbo:aspectRatio,dbo:Software,,aspect ratio
assembly,dbo:assembly,dbo:MeanOfTransportation,,assembly
assistant principal,dbo:assistantPrincipal,dbo:EducationalInstitution,,assistant principal
associate,dbo:associate,,dbo:Person,associate
associate editor,dbo:associateEditor,dbo:Newspaper,dbo:Person,associate editor
associateStar,dbo:associateStar,,dbo:Constellation,associatestar
associated act,dbo:associatedAct,dbo:Artist,dbo:Artist,associated act
associated band,dbo:associatedBand,,dbo:Band,associated band
associated musical artist,dbo:associatedMusicalArtist,,dbo:MusicalArtist,associated musical artist
associated rocket,dbo:associatedRocket,dbo:LaunchPad,dbo:Rocket,associated rocket
association of local government,dbo:associationOfLocalGovernment,dbo:Settlement,dbo:PopulatedPlace,association of local government
astrological sign,dbo:astrologicalSign,dbo:Person,,astrological sign
athletics,dbo:athletics,dbo:University,,athletics
athletics discipline,dbo:athleticsDiscipline,dbo:Athlete,dbo:Athletics,athletics discipline
attorney general,dbo:attorneyGeneral,dbo:LegalCase,dbo:Person,"attorney general, public attorney"
aunt,dbo:aunt,dbo:Woman,dbo:Person,aunt
author,dbo:author,dbo:Work,dbo:Person,author
authority,dbo:authority,,,authority
automobile platform,dbo:automobilePlatform,dbo:Automobile,dbo:Automobile,automobile platform
autonomy,dbo:autonomy,,,autonomy
available smart card,dbo:availableSmartCard,dbo:Station,,"available smart card, smartcard for fare payment system for public transit systems that are or will be available at the station."
award,dbo:award,,dbo:Award,"award, award won by a person, musical or other work, racehorse, building, etc"
BAFTA Award,dbo:baftaAward,dbo:Artist,dbo:Award,bafta award
band member,dbo:bandMember,dbo:Band,dbo:Person,"band member, a member of the band."
based on,dbo:basedOn,dbo:Work,dbo:Work,based on
battery,dbo:battery,,dbo:Battery,"battery, points out the battery used with/in a thing."
