,short,label
0,lex2kg-o:bagianDari,bagian dari
1,lex2kg-o:teks,teks
2,lex2kg-o:segmen,segmen
3,lex2kg-o:tanggal,tanggal
4,lex2kg-o:nomor,nomor
5,lex2kg-o:pasal,pasal
6,lex2kg-o:daftarPasal,daftar pasal
7,lex2kg-o:daftarAyat,daftar ayat
8,lex2kg-o:merujuk,merujuk
9,lex2kg-o:ayat,ayat
10,lex2kg-o:jenisVersi,jenis versi
11,lex2kg-o:mengingat,mengingat
12,lex2kg-o:huruf,huruf
13,lex2kg-o:versi,versi
14,lex2kg-o:bagian,bagian
15,lex2kg-o:paragraf,paragraf
16,lex2kg-o:bab,bab
17,lex2kg-o:daftarHuruf,daftar huruf
18,lex2kg-o:menimbang,menimbang
19,lex2kg-o:judul,judul
20,lex2kg-o:jenisPeraturan,jenis peraturan
21,lex2kg-o:daftarParagraf,daftar paragraf
22,lex2kg-o:menghapus,menghapus
23,lex2kg-o:tahun,tahun
24,lex2kg-o:mengubah,mengubah
25,lex2kg-o:yurisdiksi,yurisdiksi
26,lex2kg-o:daftarBagian,daftar bagian
27,lex2kg-o:menyisipkan,menyisipkan
28,lex2kg-o:disahkanPada,disahkan pada
29,lex2kg-o:disahkanDi,disahkan di
30,lex2kg-o:bahasa,bahasa
31,lex2kg-o:disahkanOleh,disahkan oleh
32,lex2kg-o:tentang,tentang
33,lex2kg-o:jabatanPengesah,jabatan pengesah
34,lex2kg-o:daftarBab,daftar bab
