{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '1.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '4.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '1.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '1.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '1.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '1.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '1.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '1.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '1.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '0.000', 'recall': '0.000', 'precision': '0.000', 'f1': '0.000', 'tp': '0.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '6.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '20.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '951.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '184.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '78.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '2.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '2.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '2.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '0.000', 'recall': '0.000', 'precision': '0.000', 'f1': '0.000', 'tp': '0.000', 'fp': '1410.000', 'fn': '1410.000', 'tn': '0.000'}
{'jaccard': '0.000', 'recall': '0.000', 'precision': '0.000', 'f1': '0.000', 'tp': '0.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '2.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '1.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '16.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
{'jaccard': '1.000', 'recall': '1.000', 'precision': '1.000', 'f1': '1.000', 'tp': '1.000', 'fp': '0.000', 'fn': '0.000', 'tn': '0.000'}
