Translated Question:  Undang-undang apa saja yang disahkan pada 29 Mei 1997?
Question:  Undang-undang apa saja yang disahkan pada 29 Mei 1997?
{'chat_history': [HumanMessage(content='Undang-undang apa saja yang disahkan pada 29 Mei 1997?', additional_kwargs={}, response_metadata={})], 'input': 'Undang-undang apa saja yang disahkan pada 29 Mei 1997?'}
Entities:  ['Undang-undang', '29 Mei 1997']
Retrieved Resources:                                       uri                label
0   https://example.org/lex2kg/uu/2011/1   UU tahun 2011 no 1
1   https://example.org/lex2kg/uu/2009/1   UU tahun 2009 no 1
2  https://example.org/lex2kg/uu/2011/24  UU tahun 2011 no 24
3   https://example.org/lex2kg/uu/2013/1   UU tahun 2013 no 1
4   https://example.org/lex2kg/uu/2012/1   UU tahun 2012 no 1
Retrieved entities:                                    uri               label
 https://example.org/lex2kg/uu/2011/1  UU tahun 2011 no 1
 https://example.org/lex2kg/uu/2009/1  UU tahun 2009 no 1
https://example.org/lex2kg/uu/2011/24 UU tahun 2011 no 24
 https://example.org/lex2kg/uu/2013/1  UU tahun 2013 no 1
 https://example.org/lex2kg/uu/2012/1  UU tahun 2012 no 1
Entity:  Undang-undang
Question:  Undang-undang
{'chat_history': [HumanMessage(content='Undang-undang', additional_kwargs={}, response_metadata={})], 'input': 'Undang-undang'}
Resource:  uri='https://example.org/lex2kg/uu/1997/29'
Entity URI:  https://example.org/lex2kg/uu/1997/29



po:                                                        p                                                      o               sLabel            pLabel                                            oLabel
0        https://example.org/lex2kg/ontology/yurisdiksi                                              Indonesia  UU tahun 1997 no 29        yurisdiksi                                         indonesia
1           https://example.org/lex2kg/ontology/tentang        PEMBENTUKAN KOTAMADYA DAERAH TINGKAT II TARAKAN  UU tahun 1997 no 29           tentang   pembentukan kotamadya daerah tingkat ii tarakan
2             https://example.org/lex2kg/ontology/tahun                                                   1997  UU tahun 1997 no 29             tahun                                        tahun 1997
3             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/1997/29/pasal/0018  UU tahun 1997 no 29             pasal                      UU tahun 1997 no 29 pasal 18
4             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/1997/29/pasal/0017  UU tahun 1997 no 29             pasal                      UU tahun 1997 no 29 pasal 17
5             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/1997/29/pasal/0016  UU tahun 1997 no 29             pasal                      UU tahun 1997 no 29 pasal 16
6             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/1997/29/pasal/0015  UU tahun 1997 no 29             pasal                      UU tahun 1997 no 29 pasal 15
7             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/1997/29/pasal/0014  UU tahun 1997 no 29             pasal                      UU tahun 1997 no 29 pasal 14
8             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/1997/29/pasal/0013  UU tahun 1997 no 29             pasal                      UU tahun 1997 no 29 pasal 13
9             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/1997/29/pasal/0012  UU tahun 1997 no 29             pasal                      UU tahun 1997 no 29 pasal 12
