{'jaccard': 1.0, 'recall': 1.0, 'precision': 1.0, 'f1': 1.0, 'tp': 1, 'fp': 0, 'fn': 0, 'tn': 0}
{'jaccard': 0, 'recall': 0, 'precision': 0, 'f1': 0, 'tp': 0, 'fp': 0, 'fn': 0, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 1, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 1, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 1, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 1, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 1, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 2, 'fn': 1, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 1, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 2, 'tn': 0}
{'jaccard': 1.0, 'recall': 1.0, 'precision': 1.0, 'f1': 1.0, 'tp': 6, 'fp': 0, 'fn': 0, 'tn': 0}
{'jaccard': 0, 'recall': 0, 'precision': 0, 'f1': 0, 'tp': 0, 'fp': 0, 'fn': 0, 'tn': 0}
{'jaccard': 1.0, 'recall': 1.0, 'precision': 1.0, 'f1': 1.0, 'tp': 951, 'fp': 0, 'fn': 0, 'tn': 0}
{'jaccard': 1.0, 'recall': 1.0, 'precision': 1.0, 'f1': 1.0, 'tp': 184, 'fp': 0, 'fn': 0, 'tn': 0}
{'jaccard': 1.0, 'recall': 1.0, 'precision': 1.0, 'f1': 1.0, 'tp': 78, 'fp': 0, 'fn': 0, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 2, 'fn': 2, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 2, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 22, 'fn': 2, 'tn': 0}
{'jaccard': 0, 'recall': 0, 'precision': 0, 'f1': 0, 'tp': 0, 'fp': 0, 'fn': 0, 'tn': 0}
{'jaccard': 0, 'recall': 0, 'precision': 0, 'f1': 0, 'tp': 0, 'fp': 0, 'fn': 0, 'tn': 0}
{'jaccard': 1.0, 'recall': 1.0, 'precision': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 1, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 16, 'tn': 0}
{'jaccard': 0.0, 'recall': 0.0, 'precision': 0.0, 'f1': 0, 'tp': 0, 'fp': 1, 'fn': 1, 'tn': 0}
