Translated Question:  Apa teks dari UU No. 11 Tahun 2010 versi 24 November 2010 Pasal 34 Ayat 2?
Question:  Apa teks dari UU No. 11 Tahun 2010 versi 24 November 2010 Pasal 34 Ayat 2?
{'chat_history': [HumanMessage(content='Apa teks dari UU No. 11 Tahun 2010 versi 24 November 2010 Pasal 34 Ayat 2?', additional_kwargs={}, response_metadata={})], 'input': 'Apa teks dari UU No. 11 Tahun 2010 versi 24 November 2010 Pasal 34 Ayat 2?'}
Entities:  ['UU No. 11 Tahun 2010', 'Pasal 34 Ayat 2', 'versi 24 November 2010']
Retrieved Resources:                                                                            uri                                                        label
0                                       https://example.org/lex2kg/uu/2010/11                                          UU tahun 2010 no 11
1                              https://example.org/lex2kg/uu/2010/11/bab/0011                                   UU tahun 2010 no 11 bab 11
2             https://example.org/lex2kg/uu/2010/11/pasal/0011/versi/20101124          UU tahun 2010 no 11 pasal 11 versi 24 November 2010
3                            https://example.org/lex2kg/uu/2010/11/pasal/0011                                 UU tahun 2010 no 11 pasal 11
4  https://example.org/lex2kg/uu/2010/11/pasal/0001/versi/20101124/huruf/0011  UU tahun 2010 no 11 pasal 1 versi 24 November 2010 huruf 11
Entity URI:  https://example.org/lex2kg/uu/2010/11



po:                                                         p                                                      o               sLabel            pLabel                           oLabel
0                https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0001  UU tahun 2010 no 11               bab        UU tahun 2010 no 11 bab 1
1                https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0002  UU tahun 2010 no 11               bab        UU tahun 2010 no 11 bab 2
2                https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0003  UU tahun 2010 no 11               bab        UU tahun 2010 no 11 bab 3
3                https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0004  UU tahun 2010 no 11               bab        UU tahun 2010 no 11 bab 4
4                https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0005  UU tahun 2010 no 11               bab        UU tahun 2010 no 11 bab 5
5                https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0006  UU tahun 2010 no 11               bab        UU tahun 2010 no 11 bab 6
6                https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0007  UU tahun 2010 no 11               bab        UU tahun 2010 no 11 bab 7
7                https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0008  UU tahun 2010 no 11               bab        UU tahun 2010 no 11 bab 8
8                https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0009  UU tahun 2010 no 11               bab        UU tahun 2010 no 11 bab 9
9                https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0010  UU tahun 2010 no 11               bab       UU tahun 2010 no 11 bab 10
10               https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0011  UU tahun 2010 no 11               bab       UU tahun 2010 no 11 bab 11
11               https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0012  UU tahun 2010 no 11               bab       UU tahun 2010 no 11 bab 12
12               https://example.org/lex2kg/ontology/bab         https://example.org/lex2kg/uu/2010/11/bab/0013  UU tahun 2010 no 11               bab       UU tahun 2010 no 11 bab 13
13            https://example.org/lex2kg/ontology/bahasa                                                     id  UU tahun 2010 no 11            bahasa                               id
14        https://example.org/lex2kg/ontology/disahkanDi                                                Jakarta  UU tahun 2010 no 11       disahkan di                          jakarta
15      https://example.org/lex2kg/ontology/disahkanOleh                        DR. H. Susilo Bambang Yudhoyono  UU tahun 2010 no 11     disahkan oleh  dr. h. susilo bambang yudhoyono
16      https://example.org/lex2kg/ontology/disahkanPada                                             2010-11-24  UU tahun 2010 no 11     disahkan pada                       2010-11-24
17   https://example.org/lex2kg/ontology/jabatanPengesah                            Presiden Republik Indonesia  UU tahun 2010 no 11  jabatan pengesah      presiden republik indonesia
18    https://example.org/lex2kg/ontology/jenisPeraturan  https://example.org/lex2kg/ontology/jenisPeraturan/UU  UU tahun 2010 no 11   jenis peraturan      ontology jenis peraturan uu
19         https://example.org/lex2kg/ontology/mengingat        https://example.org/lex2kg/uu/2010/11/mengingat  UU tahun 2010 no 11         mengingat    UU tahun 2010 no 11 mengingat
20         https://example.org/lex2kg/ontology/menimbang        https://example.org/lex2kg/uu/2010/11/menimbang  UU tahun 2010 no 11         menimbang    UU tahun 2010 no 11 menimbang
21             https://example.org/lex2kg/ontology/nomor                                                     11  UU tahun 2010 no 11             nomor                            no 11
22             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0001  UU tahun 2010 no 11             pasal      UU tahun 2010 no 11 pasal 1
23             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0002  UU tahun 2010 no 11             pasal      UU tahun 2010 no 11 pasal 2
24             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0003  UU tahun 2010 no 11             pasal      UU tahun 2010 no 11 pasal 3
25             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0004  UU tahun 2010 no 11             pasal      UU tahun 2010 no 11 pasal 4
26             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0005  UU tahun 2010 no 11             pasal      UU tahun 2010 no 11 pasal 5
27             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0006  UU tahun 2010 no 11             pasal      UU tahun 2010 no 11 pasal 6
28             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0007  UU tahun 2010 no 11             pasal      UU tahun 2010 no 11 pasal 7
29             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0008  UU tahun 2010 no 11             pasal      UU tahun 2010 no 11 pasal 8
30             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0009  UU tahun 2010 no 11             pasal      UU tahun 2010 no 11 pasal 9
31             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0010  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 10
32             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0011  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 11
33             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0012  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 12
34             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0013  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 13
35             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0014  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 14
36             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0015  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 15
37             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0016  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 16
38             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0017  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 17
39             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0018  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 18
40             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0019  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 19
41             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0020  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 20
42             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0021  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 21
43             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0022  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 22
44             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0023  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 23
45             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0024  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 24
46             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0025  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 25
47             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0026  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 26
48             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0027  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 27
49             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0028  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 28
50             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0029  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 29
51             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0030  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 30
52             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0031  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 31
53             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0032  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 32
54             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0033  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 33
55             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0034  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 34
56             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0035  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 35
57             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0036  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 36
58             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0037  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 37
59             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0038  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 38
60             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0039  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 39
61             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0040  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 40
62             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0041  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 41
63             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0042  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 42
64             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0043  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 43
65             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0044  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 44
66             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0045  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 45
67             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0046  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 46
68             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0047  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 47
69             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0048  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 48
70             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0049  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 49
71             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0050  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 50
72             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0051  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 51
73             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0052  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 52
74             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0053  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 53
75             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0054  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 54
76             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0055  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 55
77             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0056  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 56
78             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0057  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 57
79             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0058  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 58
80             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0059  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 59
81             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0060  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 60
82             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0061  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 61
83             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0062  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 62
84             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0063  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 63
85             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0064  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 64
86             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0065  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 65
87             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0066  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 66
88             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0067  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 67
89             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0068  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 68
90             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0069  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 69
91             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0070  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 70
92             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0071  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 71
93             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0072  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 72
94             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0073  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 73
95             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0074  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 74
96             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0075  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 75
97             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0076  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 76
98             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0077  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 77
99             https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0078  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 78
100            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0079  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 79
101            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0080  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 80
102            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0081  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 81
103            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0082  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 82
104            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0083  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 83
105            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0084  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 84
106            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0085  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 85
107            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0086  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 86
108            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0087  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 87
109            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0088  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 88
110            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0089  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 89
111            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0090  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 90
112            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0091  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 91
113            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0092  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 92
114            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0093  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 93
115            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0094  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 94
116            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0095  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 95
117            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0096  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 96
118            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0097  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 97
119            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0098  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 98
120            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0099  UU tahun 2010 no 11             pasal     UU tahun 2010 no 11 pasal 99
121            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0100  UU tahun 2010 no 11             pasal    UU tahun 2010 no 11 pasal 100
122            https://example.org/lex2kg/ontology/pasal       https://example.org/lex2kg/uu/2010/11/pasal/0101  UU tahun 2010 no 11             pasal    UU tahun 2010 no 11 pasal 101
